"name","n"
"Oriental Fortune Capital",1
"Outrun Ventures",1
"Partech Partners",1
"Peterson Ventures",1
"Pine Brook",1
"Plug and Play Ventures",1
"Point Nine Capital",1
"Polaris Partners",1
"Portag3 Ventures",1
"PUC",1
"Qatar Investment Authority",1
"Qiming Venture Partners",1
"Quiet Capital",1
"Quona Capital",1
"Redalpine Venture Partners",1
"Redpoint e.ventures",1
"Redpoint Ventures China",1
"Relay Ventures",1
"Resolute Ventures",1
"Route 66 Ventures",1
"RPM Ventures",1
"RRE Ventures",1
"Runa Capital",1
"Salesforce Ventures",1
"Scentan Ventures",1
"SciFi VC",1
"SEB Venture Capital",1
"Section 32",1
"SEED Capital",1
"Seedcamp",1
"Shea Ventures",1
"Shenzhen Capital Group",1
"Slow Ventures",1
"Socii Capital",1
"Sodexo Ventures",1
"Softbank",1
"Softbank Capital",1
"Softbank Ventures Asia",1
"Soros Fund Management",1
"Source Code Capital",1
"Spar Capital",1
"Speedinvest",1
"Stripes Group",1
"Summerhill Venture Partners",1
"Summit Partners",1
"Susquehanna Growth Equity",1
"Sway Ventures",1
"T. Rowe Price",1
"TA Associates",1
"Teamworthy Ventures",1
"Tenaya Capital",1
"Tencent Holdings",1
"Tengelmann Ventures",1
"The Carlyle Group",1
"The Rise Fund",1
"Third Point",1
"Tiger Brokers",1
"TLV Partners",1
"Tokopedia",1
"Tokyo Century Corporation",1
"Toscafund Asset Management",1
"Trammell Ventures",1
"Tribe Capital",1
"Tru Arrow Partners",1
"TVS Capital",1
"UBS",1
"Undisclosed",1
"Uniqa Ventures",1
"Valor Capital Group",1
"Ventech China",1
"Ventura Capital",1
"Venture51",1
"Vertex Ventures SE Asia",1
"Visa Ventures",1
"Vulcan Capital",1
"VY Capital",1
"Wellington Management",1
"Wing Venture Capital",1
"Woori Investment",1
"World Innovation Lab",1
"World Lab Innovation",1
"Yabeo Capital",1
"Yinhong Equity Investment Fund",1
