,Unnamed: 0,Company,Valuation ($B),Date Joined,Country,City,Industry,Investor 1,Investor 2,Investor 3,Investor 4
88,88,Black Unicorn Factory,6.1,2021-05-20,USA,Los Angeles,Other,Barter Ventures,,,
89,89,Benchling,6.1,2021-04-14,USA,San Francisco,Internet software & services,Thrive Capital,Benchmark,MenloVentures,
92,92,Better.com,6.0,2020-11-10,USA,New York,Fintech,Pine Brook,American Express Ventures,Kleiner Perkins Caufield & Byers,
94,94,Bolt,6.0,2021-10-08,USA,San Francisco,Fintech,Activant Capital,Tribe Capital,General Atlantic,
95,95,Attentive,5.99,2020-09-23,USA,Hoboken,Mobile & telecommunications,NextView Ventures,Eniac Ventures,Sequoia Capital,
98,98,Airtable,5.77,2018-11-15,USA,San Francisco,Internet software & services,Caffeinated Capital,CRV,Founder Collective,
99,99,Vice Media,5.7,2011-04-02,USA,Brooklyn,Internet software & services,Technology Crossover Ventures,A&E Television Networks,,
100,100,Cityblock Health,5.7,2020-12-10,USA,Brooklyn,Health,Thrive Capital,Maverick Ventures,Redpoint Ventures,
101,101,Workato,5.7,2021-01-12,USA,Mountain View,Internet software & services,Battery Ventures,Storm Ventures,Redpoint Ventures,
102,102,Postman,5.6,2020-06-11,USA,San Francisco,Internet software & services,Nexus Venture Partners,CRV,Insight Partners,
103,103,FiveTran,5.6,2020-06-30,USA,Oakland,Data management & analytics,Matrix Partners,Andreessen Horowitz,General Catalyst,
104,104,Pony.ai,5.3,2018-07-11,USA,Fremont,Artificial intelligence,Sequoia Capital China,IDG Capital,DCM Ventures,
109,109,HashiCorp,5.1,2018-11-01,USA,San Francisco,Internet software & services,Redpoint Ventures,True Ventures,Mayfield Fund,
110,110,OneTrust,5.1,2019-07-11,USA,Atlanta,Internet software & services,Insight Partners,,,
78,78,Automation Anywhere,6.8,2018-07-02,USA,San Jose,Artificial intelligence,General Atlantic,Goldman Sachs,New Enterprise Associates,
300,300,Cybereason,2.44,2019-08-06,USA,Boston,Cybersecurity,SoftBank Group,CRV,Spark Capital,
296,296,Aura,2.5,2021-06-09,USA,Burlington,Cybersecurity,Warburg Pincus,General Catalyst,,
305,305,Paxos,2.4,2021-04-29,USA,New York,Fintech,Liberty City Ventures,RRE Ventures,Mithril Capital Management,
500,500,Chipper Cash,2.0,2021-06-01,USA,San Francisco,Fintech,Deciens Capital,Bezos Expeditions,500 Startups,
504,504,dbt Labs,1.5,2021-06-30,USA,Philadelphia,Data management & analytics,Andreessen Horowitz,Amplify Partners,Sequoia Capital,
505,505,Impact,1.5,2021-07-13,USA,Santa Barbara,Internet software & services,Redpoint Ventures,Providence Equity Partners,Silversmith Capital Partners,
506,506,OpenSea,1.5,2021-07-20,USA,New York,E-commerce & direct-to-consumer,Andreessen Horowitz,Thirty Five Ventures,Sound Ventures,
507,507,SmartRecruiters,1.5,2021-07-20,USA,San Francisco,Internet software & services,Mayfield Fund,Insight Partners,Rembrandt Venture Partners,
2,2,Stripe,95.0,2014-01-23,USA,San Francisco,Fintech,Khosla Ventures,LowercaseCapital,capitalG,
510,510,TaxBit,1.5,2021-08-04,USA,Draper,Fintech,Insight Partners,Coinbase Ventures,PayPal Ventures,
499,499,Snapdocs,1.5,2021-05-25,USA,San Francisco,Fintech,Sequoia Capital,Y Combinator,F-Prime Capital,
511,511,Pacaso,1.5,2021-03-24,USA,Cincinnati,Fintech,Global Founders Capital,Shea Ventures,Greycroft,
514,514,Persona,1.5,2021-09-15,USA,San Francisco,Cybersecurity,Coatue Management,Index Ventures,Founders Fund,
515,515,Whatnot,1.5,2021-09-16,USA,Marina del Rey,E-commerce & direct-to-consumer,Y Combinator,Andreessen Horowitz,Wonder Ventures,
517,517,Andela,1.5,2021-09-29,USA,New York,Internet software & services,Spark Capital,Google Ventures,CRE Venture Capital,
518,518,Built,1.5,2021-09-30,USA,Nashville,Internet software & services,Nyca Partners,Index Ventures,Technology Crossover Ventures,
519,519,candy.com,1.5,2021-10-21,USA,New York,Fintech,Insight Partners,Softbank Group,Connect Ventures,
520,520,Devo,1.5,2021-10-26,USA,Cambridge,Data management & analytics,Insight Partners,Kibo Ventures,Bessemer Venture Partners,
521,521,CoinList,1.5,2021-10-15,USA,San Francisco,Fintech,Accomplice,Polychain Capital,GoldenTree Asset Management,
512,512,1047 Games,1.5,2021-09-14,USA,Zephyr Cove,Internet software & services,VGames,Lakestar,Galaxy Interactive,
498,498,Handshake,1.5,2021-05-12,USA,San Francisco,Internet software & services,Kleiner Perkins Caufield & Byers,Lightspeed Venture Partners,True Ventures,
497,497,ID.me,1.5,2021-03-19,USA,McLean,Cybersecurity,Moonshots Capital,BoxGroup,Blu Venture Investors,
496,496,Uplight,1.5,2021-03-03,USA,Boulder,Other,Rubicon Technology Partners,Max Ventures,Inclusive Capital Partners,
461,461,Verkada,1.6,2020-01-29,USA,San Mateo,Cybersecurity,next47,First Round Capital,Sequoia Capital,
463,463,Clari,1.6,2021-03-03,USA,Sunnyvale,Internet software & services,Sequoia Capital,Bain Capital Ventures,enaya Capital,
464,464,Tonal,1.6,2021-03-31,USA,San Francisco,E-commerce & direct-to-consumer,Mayfield Fund,Shasta Ventures,L Catterton,
465,465,Skims,1.6,2021-04-09,USA,Los Angeles,E-commerce & direct-to-consumer,Thrive Capital,Alliance Consumer Growth,Imaginary Ventures,
934,934,ReliaQuest,1.0,2021-12-01,USA,Tampa,Cybersecurity,KKR,FTV Capital,Ten Eleven Ventures,
468,468,Extend,1.6,2021-05-18,USA,San Francisco,Fintech,GreatPoint Ventures,Meritech Capital Partners,PayPal Ventures,
5,5,Instacart,39.0,2014-12-30,USA,San Francisco,Supply chain logistics & delivery,Khosla Ventures,Kleiner Perkins Caufield & Byers,Collaborative Fund,
472,472,Mercury,1.6,2021-07-03,USA,San Francisco,Fintech,Andreessen Horowitz,Coatue Management,Clocktower Technology Ventures,
473,473,HomeLight,1.6,2021-09-02,USA,San Francisco,Fintech,Zeev Ventures,"Menlo Ventures,Crosslink Capital",,
474,474,Truepill,1.6,2021-10-27,USA,Hayward,Health,Initialized Capital,Sound Ventures,TI Platform Management,
479,479,Loom,1.53,2021-05-20,USA,San Francisco,Internet software & services,Kleiner Perkins Caufield & Byers,Sequoia Capital,General Catalyst,
482,482,Mu Sigma,1.5,2013-02-07,USA,Northbrook,Data management & analytics,Sequoia Capital,General Atlantic,,
491,491,Cambridge Mobile Telematics,1.5,2018-12-19,USA,Cambridge,Mobile & telecommunications,SoftBank Group,,,
492,492,Collective Health,1.5,2019-06-17,USA,San Francisco,Fintech,New Enterprise Associates,Founders Fund,Google Ventures,
493,493,Strava,1.5,2020-11-16,USA,San Francisco,Internet software & services,Jackson Square Ventures,Madrone Capital Partners,Sequoia Capital,
494,494,Zenoti,1.5,2020-12-15,USA,Bellevue,Internet software & services,Norwest Venture Partners,Accel,Tiger Global Management,
495,495,K Health,1.5,2021-01-19,USA,New York,Health,Max Ventures,Mangrove Capital Partners,14W,
522,522,Lusha,1.5,2021-11-10,USA,New York,Internet software & services,PSG,ION Crossover Partners,,
530,530,Zeta,1.45,2021-05-24,USA,San Francisco,Fintech,Sodexo Ventures,SoftBank Group,,
531,531,M1 Finance,1.45,2021-07-14,USA,Chicago,Fintech,Left Lane Capital,Clocktower Technology Ventures,Jump Capital,
532,532,Justworks,1.43,2020-01-28,USA,New York,Internet software & services,Index Ventures,Thrive Capital,Bain Capital Ventures,
570,570,HeartFlow,1.3,2017-12-04,USA,Redwood City,Health,BlueCross BlueShield Venture Partners,US Venture Partners,,
571,571,Sonder,1.3,2019-07-11,USA,San Francisco,Travel,Structure Capital,Spark Capital,Greylock Partners,
573,573,You & Mr Jones,1.3,2019-11-19,USA,New York,Other,Undisclosed,,,
575,575,Everly Health,1.3,2020-12-03,USA,Austin,E-commerce & direct-to-consumer,Highland Capital Partners,Next Coast Ventures,SoGal Ventures,
578,578,Innovaccer,1.3,2021-02-19,USA,San Francisco,Health,M12,WestBridge Capital,Lightspeed Venture Partners,
579,579,DistroKid,1.3,2021-08-16,USA,New York,Internet software & services,Insight Partners,Silversmith Capital Partners,Spotify,
582,582,Betterment,1.3,2021-09-29,USA,New York,Fintech,Bessemer Venture Partners,Menlo Ventures,Anthermis,
583,583,Flock Freight,1.3,2021-10-20,USA,Encinitas,Supply chain logistics & delivery,SignalFire,GLP Capital Partners,Google Ventures,
584,584,YugaByte,1.3,2021-10-28,USA,Sunnyvale,Data management & analytics,Lightspeed Venture Partners,Dell Technologies Capital,Wipro Ventures,
585,585,Starry,1.29,2018-07-03,USA,Boston,Mobile & telecommunications,Social Capital,Bessemer Venture Partners,,
586,586,Intercom,1.28,2018-03-27,USA,San Francisco,Internet software & services,FirstMark Capital,Tiger Global Management,,
590,590,ezCater,1.25,2019-04-02,USA,Boston,Supply chain logistics & delivery,Insight Venture Partners,ICONIQ Capital,Launchpad Venture Group,
591,591,BigID,1.25,2020-12-16,USA,New York,Cybersecurity,BOLDstart Ventures,SAP.iO Fund,Scale Venture Partners,
592,592,Rec Room,1.25,2021-03-23,USA,Seattle,Internet software & services,First Round Capital,Sequoia Capital,Index Ventures,
595,595,Honor Technology,1.25,2021-10-05,USA,San Francisco,Internet software & services,Andreessen Horowitz,Prosus Ventures,Thrive Capital,
596,596,Mythical Games,1.25,2021-11-04,USA,Sherman Oaks,Internet software & services,Javelin Venture Partners,Struck Capital,Alumni Ventures Group,
597,597,Incode Technologies,1.25,2021-12-07,USA,San Francisco,Cybersecurity,Dila Capital,Framework Ventures,3L,
569,569,Alzheon,1.31,2020-09-30,USA,Framingham,Health,ARCH Venture Partners,Ally Bridge Group,,
458,458,Infinidat,1.6,2015-04-29,USA,Waltham,Hardware,TPG Growth,Goldman Sachs,,
566,566,Grove Collaborative,1.32,2019-09-06,USA,San Francisco,E-commerce & direct-to-consumer,MHS Capital,NextView Ventures,Mayfield Fund,
563,563,Signifyd,1.34,2021-04-15,USA,San Jose,Fintech,Menlo Ventures,Resolute Ventures,IA Ventures,
533,533,SonderMind,1.42,2021-07-28,USA,Denver,Health,Kickstart Fund,General Catalyst,Drive Capital,
534,534,Papa,1.4,2021-11-04,USA,Miami,Health,Initialized Capital,Canaan Partners,Sound Ventures,
536,536,Symphony,1.4,2017-05-16,USA,New York,Fintech,BNP Paribas,Goldman Sachs,Google,
541,541,Away,1.4,2019-05-15,USA,New York,E-commerce & direct-to-consumer,Global Founders Capital,Comcast Ventures,Forerunner Ventures,
542,542,Kong,1.4,2020-12-31,USA,San Francisco,Internet software & services,New Enterprise Associates,CRV,Index Ventures,
544,544,Yotpo,1.4,2021-03-18,USA,New York,Internet software & services,Bessemer Venture Partners,Vintage Investment Partners,Blumberg Capital,
546,546,Coda,1.4,2021-07-08,USA,Mountain View,Internet software & services,Greylock Partners,General Catalyst,Khosla Ventures,
548,548,Stash,1.4,2021-02-03,USA,New York,Fintech,Goodwater Capital,Entree Capital,Valar Ventures,
549,549,Phenom People,1.4,2021-04-07,USA,Ambler,Internet software & services,Sierra Ventures,AXA Venture Partners,Sigma Prime Ventures,
550,550,GupShup,1.4,2021-04-08,USA,San Francisco,Internet software & services,Helion Venture Partners,Tiger Global management,CRV,
551,551,Degreed,1.4,2021-04-13,USA,Pleasanton,Edtech,Signal Peak Ventures,Owl Ventures,Jump Capital,
552,552,Astranis Space Technologies,1.4,2021-04-14,USA,San Francisco,Mobile & telecommunications,Refactor Capital,Andreessen Horowitz,Fifty Years Fund,
553,553,ChargeBee Technologies,1.4,2021-04-20,USA,Walnut,Fintech,Insight Partners,Tiger Global Management,Accel,
555,555,VideoAmp,1.4,2021-10-21,USA,Los Angeles,Internet software & services,Simon Equity Partners,Wavemaker Partners,Anthem Venture Partners,
556,556,Panther Labs,1.4,2021-12-02,USA,San Francisco,Cybersecurity,Innovation Endeavors,s28 Capital,Lightspeed Venture Partners,
561,561,At-Bay,1.35,2021-07-27,USA,Mountain View,Fintech,Lightspeed Venture Partners,Khosla Ventures,Munich Re Ventures,
562,562,Alloy,1.35,2021-09-30,USA,New York,Fintech,Bessemer Venture Partners,Eniac Ventures,Canapi Ventures,
565,565,Flipboard,1.32,2015-07-22,USA,Palo Alto,Internet software & services,Kleiner Perkins Caufield & Byers,Comcast Ventures,Insight Partners,
303,303,Carbon,2.4,2015-08-20,USA,Redwood City,Hardware,Google Ventures,Sequoia Capital,Wakefield Group,
454,454,Trader Interactive,1.63,2021-05-12,USA,Norfolk,Other,Carsales,,,
449,449,H2O.ai,1.7,2021-11-07,USA,Mountain View,Artificial intelligence,Nexus Venture Partners,Transamerica Ventures,Crane Venture Partners,
340,340,Eightfold.ai,2.1,2020-10-27,USA,Santa Clara,Internet software & services,Foundation Capital,Institutional Venture Partners,General Catalyst,
341,341,Webflow,2.1,2021-01-13,USA,San Francisco,Internet software & services,Accel,Silversmith Capital Partners,capitalG,
342,342,6Sense,2.1,2021-03-30,USA,San Francisco,Artificial intelligence,Venrock,Battery Ventures,Insight Partners,
344,344,ReCharge,2.1,2021-05-06,USA,Los Angeles,Fintech,ICONIQ Growth,Bain Capital Ventures,Summit Partners,
345,345,Moveworks,2.1,2021-06-30,USA,Mountain View,Artificial intelligence,Lightspeed Venture Partners,Sapphire Ventures,Kleiner Perkins Caufield & Byers,
346,346,Medable,2.1,2021-10-26,USA,Palo Alto,Internet software & services,GSR Ventures,Sapphire Ventures,Streamlined Ventures,
347,347,SoundHound,2.1,2018-05-03,USA,Santa Clara,Artificial intelligence,Tencent Holdings,Walden Venture Capital,Global Catalyst Partnera,
337,337,Neo4j,2.15,2021-06-17,USA,San Mateo,Data management & analytics,Eight Roads Ventures,One Peak Partners,Creandum,
350,350,Avant,2.0,2012-12-17,USA,Chicago,Artificial intelligence,RRE Ventures,Tiger Global,August Capital,
355,355,Quora,2.0,2017-04-21,USA,Mountain View,Internet software & services,Y Combinator,Matrix Partners,Benchmark,
358,358,Formlabs,2.0,2018-08-01,USA,Somerville,Hardware,Pitango Venture Capital,DFJ Growth Fund,Foundry Group,
360,360,Calm,2.0,2019-02-06,USA,San Francisco,Consumer & retail,Insight Venture Partners,TPG Growth,Sound Ventures,
361,361,Kaseya,2.0,2019-03-27,USA,Miami,Cybersecurity,Insight Partners,TPG Alternative & Renewable Technologies,Ireland Strategic Investment Fund,
363,363,Druva,2.0,2019-06-20,USA,Sunnyvale,Data management & analytics,Nexus Venture Partners,Tenaya Capital,Sequoia Capital,
365,365,AppsFlyer,2.0,2020-01-21,USA,San Francisco,Mobile & telecommunications,Magma Venture Partners,Pitango Venture Capital,Qumra Capital,
367,367,Redis Labs,2.0,2020-08-25,USA,Mountain View,Data management & analytics,Viola Ventures,Dell Technologies Capital,Bain Capital Ventures,
353,353,Quanergy Systems,2.0,2016-08-22,USA,Sunnyvale,Auto & transportation,Delphi Automotive,Samsung Ventures,Motus Ventures,
450,450,ZenBusiness,1.7,2021-11-09,USA,Austin,Fintech,Greycroft,Lerer Hippeau,Geekdom Fund,
336,336,Cockroach Labs,2.16,2021-01-12,USA,New York,Data management & analytics,Google Ventures,Benchmark,FirstMark Capital,
332,332,Reify Health,2.2,2021-08-10,USA,Boston,Health,Sierra Ventures,Battery Ventures,Asset Management Ventures,
306,306,Exabeam,2.4,2021-06-01,USA,Foster City,Cybersecurity,Norwest Venture Partners,Aspect Ventures,Lightspeed Venture Partners,
307,307,BitSight Technologies,2.4,2021-09-13,USA,Boston,Cybersecurity,Menlo Ventures,GGV Capital,Flybridge Capital Partners,
308,308,Trumid,2.4,2020-07-15,USA,New York,Fintech,T. Rowe Price,Dragoneer Investment Group,BlackRock,
309,309,ABL Space Systems,2.4,2021-03-25,USA,El Segundo,Other,T. Rowe Price,Lockheed Martin Ventures,Fidelity Investment,
315,315,Uptake,2.3,2015-10-27,USA,Chicago,Artificial intelligence,Revolution,New Enterprise Associates,Caterpillar,
316,316,KeepTruckin,2.3,2019-04-23,USA,San Francisco,Supply chain logistics & delivery,Google Ventures,Index Ventures,Scale Venture Partners,
317,317,Skydance Media,2.3,2020-02-11,USA,Santa Monica,Other,RedBird Capital Partners,CJ ENM,Tencent Holdings,
335,335,Addepar,2.17,2021-06-15,USA,Mountain View,Fintech,8VC,D1 Capital Partners,Sway Ventures,
318,318,Greenlight,2.3,2020-09-24,USA,Atlanta,Fintech,Relay Ventures,TTV Capital,Canapi Ventures,
320,320,Bowery Farming,2.3,2021-05-25,USA,New York,Other,Temasek,Google Ventures,General Catalyst,
322,322,Zume,2.25,2018-11-01,USA,Mountain View,Consumer & retail,Softbank Group,AME Cloud Ventures,SignalFire,
323,323,Algolia,2.25,2021-07-28,USA,San Francisco,Internet software & services,Accel,Alven Capital,Storm Ventures,
324,324,Pattern,2.25,2021-10-06,USA,Lehi,Internet software & services,Knox Lane,Ainge Advisory,"Carlson Private Capital Partners,/td>",
325,325,Planet Labs,2.2,2015-04-13,USA,San Francisco,Other,Threshold Ventures,O'Reilly AlphaTech Ventures,Data Collective,
328,328,Current,2.2,2021-04-27,USA,New York,Fintech,Expa,QED Investors,Foundation Capital,
330,330,Gympass,2.2,2019-06-12,USA,New York,Internet software & services,General Atlantic,SoftBank Group,Atomico,
319,319,Highspot,2.3,2021-02-22,USA,Seattle,Internet software & services,Madrona Venture Group,Shasta Ventures,Salesforce Ventures,
370,370,Virta Health,2.0,2020-12-02,USA,San Francisco,Health,Caffeinated Capital,Obvious Ventures,Venrock,
369,369,Unqork,2.0,2020-10-06,USA,New York,Fintech,Blackrock,capitalG,World Lab Innovation,
376,376,Hive,2.0,2021-04-21,USA,San Francisco,Artificial intelligence,Tomales Bay Capital,Bain & Company,General Catalyst,
419,419,Aledade,1.9,2021-01-19,USA,Bethesda,Health,Venrock,CVF Capital Partners,ARCH Venture Partners,
422,422,CFGI,1.85,2021-09-15,USA,Boston,Fintech,The Carlyle Group,CVC Capital Partners,,
423,423,Automattic,1.8,2013-05-27,USA,San Francisco,Internet software & services,Insight Venture Partners,Lowercase Capital,Polaris Partners,
424,424,ZocDoc,1.8,2015-08-20,USA,New York,Health,Founders Fund,Khosla Ventures,Goldman Sachs,
425,425,Diamond Foundry,1.8,2021-03-29,USA,San Francisco,Other,Fashion Tech Lab,Fidelity Investments,Vast Ventures,
426,426,FullStory,1.8,2021-08-04,USA,Atlanta,Internet software & services,Google Ventures,Kleiner Perkins Caufield & Byers,Stripes Group,
428,428,Opentrons,1.8,2021-09-23,USA,New York,Hardware,SOSV,Khosla Ventures,Lerer Hippeau,
371,371,ISN,2.0,2020-12-17,USA,Dallas,Supply chain logistics & delivery,Blackstone,,,
436,436,Harry's Razor Company,1.7,2018-02-16,USA,New York,Consumer & retail,Thrive Capital,Tiger Global Management,Temasek,
438,438,PAX,1.7,2018-10-22,USA,San Francisco,Consumer & retail,Tao Capital Partners,Global Asset Capital,Tiger Global Management,
439,439,Harness,1.7,2021-01-14,USA,San Francisco,Artificial intelligence,Menlo Ventures,Alkeon Capital Management,Citi Ventures,
440,440,DispatchHealth,1.7,2021-03-03,USA,Denver,Health,Alta Partners,Questa Capital,Echo Health Venturesl,
441,441,Unite Us,1.7,2021-03-17,USA,New York,Health,Insight Partners,Sequoia Capital,Index Ventures,
442,442,CircleCI,1.7,2021-05-11,USA,San Francisco,Internet software & services,Threshold Ventures,Baseline Ventures,Harrison Metal,
447,447,Dragos,1.7,2021-10-28,USA,Hanover,Cybersecurity,DataTribe,Energy Impact Partners,AllegisCyber Capital,
448,448,Reltio,1.7,2021-11-04,USA,Redwood City,Data management & analytics,Crosslink Capital,.406 Ventures,Sapphire Ventures,
437,437,Allbirds,1.7,2018-10-11,USA,San Francisco,E-commerce & direct-to-consumer,Lerer Hippeau Ventures,T. Rowe Price,Tiger Global Management,
416,416,InVision,1.9,2017-11-01,USA,New York,Internet software & services,FirstMark Capital,Tiger Global Management,ICONIQ Capital,
418,418,MX Technologies,1.9,2021-01-13,USA,Lehi,Fintech,Point72 Ventures,Pelion Venture Partners,Commerce Ventures,
412,412,SWORD Health,2.0,2021-11-22,USA,New York,Health,Khosla Ventures,Green Innovations,Founders Fund,
378,378,Kajabi,2.0,2021-05-04,USA,Irvine,Internet software & services,Meritech Capital Partners,Tiger Global Management,Spectrum Equity,
379,379,Ethos Technologies,2.7,2021-05-11,USA,San Francisco,Fintech,Sequoia Capital,Google Ventures,Accel,
381,381,Pipe,2.0,2021-05-19,USA,Miami,Fintech,next47,MaC Venture Capital,FinVC,
382,382,Iterable,2.0,2021-06-15,USA,San Francisco,Internet software & services,CRV,Blue Cloud Ventures,Index Ventures,
386,386,MURAL,2.0,2021-07-20,USA,San Francisco,Internet software & services,Insight Partners,Tiger Global Management,Gradient Ventures,
391,391,Divvy Homes,2.0,2021-08-13,USA,San Francisco,Fintech,Andreessen Horowitz,Caffeinated Capital,SciFi VC,
392,392,Apeel Sciences,2.0,2020-05-26,USA,Goleta,Other,Upfront Ventures,Tao Capital Partners,Andreessen Horowitz,
413,413,LTK,2.0,2021-11-22,USA,Dallas,Internet software & services,SoftBank Group,Maverick Capital,,
396,396,Misfits Market,2.0,2021-04-21,USA,Pennsauken,E-commerce & direct-to-consumer,Accel,D1 Capita Partners,Greenoaks Capital Management,
394,394,Aviatrix,2.0,2021-09-08,USA,United States,Internet software & services,Ignition Partners,Formation 8,CRV,
397,397,Spring Health,2.0,2021-09-16,USA,New York,Health,Rethink Impact,Work-Bench,RRE Ventures,
400,400,Modern Treasury,2.0,2021-10-06,USA,San Francisco,Fintech,Benchmark,Altimeter Capital,Quiet Capital,
401,401,Magic Leap,2.0,2014-10-21,USA,Plantation,Hardware,Obvious Ventures,Qualcomm Ventures,Andreessen Horowitz,
404,404,ClickHouse,2.0,2021-10-28,USA,Portola Valley,Data management & analytics,Lightspeed Venture Partners,Almaz Capital Partners,Altimeter Capital,
406,406,Everlaw,2.0,2021-11-02,USA,Oakland,Internet software & services,K9 Ventures,Menlo Ventures,Andreessen Horowitz,
410,410,Netlify,2.0,2021-11-17,USA,San Francisco,Internet software & services,Andreessen Horowitz,Kleiner Perkins Caufield & Byers,EQT Ventures,
411,411,Deliverr,2.0,2021-11-22,USA,San Francisco,Supply chain logistics & delivery,8VC,Activant Capital,GLP Capital Partners,
470,470,ASAPP,1.6,2021-05-19,USA,New York,Artificial intelligence,March Capital Partners,HOF Capital,Emergence Capital Partners,
860,860,Kitopi,1.0,2021-07-01,United Arab Emirates,Dubai,Supply chain logistics & delivery,CE-Ventures,BECO Capital,Nordstar,
288,288,Vista Global,2.5,2017-08-23,United Arab Emirates,Dubai,Other,Rhone Capital,,,
782,782,Emerging Markets Property Group,1.0,2020-04-28,United Arab Emirates,Dubai,Other,OLX Group,KCK Group,EXOR Seeds,
253,253,Sky Mavis,3.0,2021-10-04,Vietnam,Ho Chi Minh City,Internet software & services,Fabric Ventures,500 Global,Standard Crypto,
