,Unnamed: 0,Company,Valuation ($B),Date Joined,Country,City,Industry,Investor 1,Investor 2,Investor 3,Investor 4
779,779,Alto Pharmacy,1.0,2020-01-30,USA,San Francisco,Health,Jackson Square Ventures,Greenoaks Capital Management,Softbank Group,
780,780,o9 Solutions,1.0,2020-04-28,USA,Dallas,Artificial intelligence,KKR,,,
687,687,Daily Harvest,1.1,2021-11-16,USA,New York,E-commerce & direct-to-consumer,M13,Lightspeed Venture Partners,Lone Pine Capital,
783,783,Quizlet,1.0,2020-05-13,USA,San Francisco,Edtech,Union Square Ventures,Altos Ventures,Costanoa Ventures,
784,784,Orca Bio,1.0,2020-06-17,USA,Menlo Park,Health,Lightspeed Venture Partners,Data Collective,8VC,
857,857,ShipBob,1.0,2021-06-29,USA,Chicago,Supply chain logistics & delivery,"Hyde Park Venture Partners,	FundersClub. Bain Capital Ventures",,,
684,684,Karat,1.1,2021-10-13,USA,Seattle,Internet software & services,8VC,Norwest Venture Partners,Tiger Global Management,
787,787,Zwift,1.0,2020-09-16,USA,Long Beach,E-commerce & direct-to-consumer,Novator Partners,True,Causeway Media Partners,
680,680,People.ai,1.1,2021-08-11,USA,San Francisco,Internet software & services,GGV Capital,Lightspeed Venture Partners,ICONIQ Capital,
678,678,G2,1.1,2021-06-22,USA,Chicago,Internet software & services,Pritzker Group Venture Capital,Accel,Hyde Park Venture Partners,
792,792,Boom Supersonic,1.0,2020-12-16,USA,Englewood,Other,WRVI Capital,Caffeinated Capital,Y Combinator,
793,793,Qualia,1.0,2020-12-21,USA,San Francisco,Fintech,8VC,Menlo Ventures,Tiger Global Management,
909,909,Fabric,1.0,2021-10-26,USA,New York,Supply chain logistics & delivery,Innovation Endeavors,Aleph,Temasek,
795,795,Dremio,1.0,2021-01-06,USA,Santa Clara,Data management & analytics,Lightspeed Venture Partners,Redpoint Ventures,Norwest Venture Partners,
910,910,Augury,1.0,2021-10-26,USA,New York,Artificial intelligence,Lerer Hippeau,Munich Re Ventures,Eclipse Ventures,
675,675,Sunbit,1.1,2021-05-20,USA,Los Angeles,Fintech,Zeev Ventures,Group11,Chicago Ventures,
796,796,Quantum Metric,1.0,2021-01-07,USA,Colorado Springs,Data management & analytics,Insight Partners,Bain Capital Ventures,,
797,797,News Break,1.0,2021-01-07,USA,Mountain View,Internet software & services,IDG Capital,Francisco Partners,ZhenFund,
655,655,Rebellion Defense,1.15,2021-09-16,USA,Washington DC,Artificial intelligence,Venrock,Innovation Endeavors,Insights Partners,
838,838,Axtria,1.0,2021-05-13,USA,Berkeley Heights,Data management & analytics,Helion Venture Partners,Bain Capital Tech Opportunities,Sequoia Capital India,
6,6,Databricks,38.0,2019-02-05,USA,San Francisco,Data management & analytics,Andreessen Horowitz,New Enterprise Associates,Battery Ventures,
600,600,EQRx,1.23,2021-01-11,USA,Cambridge,Health,Nextech Invest,Casdin Capital,Google Ventures,
186,186,Papaya Global,3.7,2021-03-04,USA,New York,Internet software & services,Bessemer Venture Partners,Insight Partners,New Era Ventures,
187,187,Relativity,3.6,2021-03-18,USA,Chicago,Internet software & services,Silver Lake,ICONIQ Capital,,
188,188,Whoop,3.6,2020-10-28,USA,Boston,E-commerce & direct-to-consumer,NextView Ventures,Promus Ventures,Two Sigma Ventures,
189,189,Applied Intuition,3.6,2020-10-22,USA,Sunnyvale,Data management & analytics,Andreessen Horowitz,Lux Capital,General Catalyst,
191,191,Indigo Ag,3.5,2017-09-26,USA,Boston,Artificial intelligence,Activant Capital Group,Alaska Permanent Fund,Baillie Gifford & Co.,
194,194,Commure,3.5,2021-09-13,USA,San Francisco,Internet software & services,General Catalyst,HCA Healthcare,,
196,196,Coalition,3.5,2021-03-16,USA,San Francisco,Cybersecurity,Two Sigma Ventures,Flint Capital,Commerce Ventures,
185,185,Redwood Materials,3.7,2021-07-28,USA,Carson City,Other,Breakthrough Energy Ventures,Capricorn Investment Group,Valor Equity Partners,
197,197,Tekion,3.5,2020-10-21,USA,San Ramon,Internet software & services,Airbus Ventures,Index Ventures,Advent International,
200,200,MoonPay,3.4,2021-11-22,USA,Miami,Fintech,New Enterprise Associates,Coatue Management,Tiger Global Management,
202,202,OwnBackup,3.35,2021-01-28,USA,Englewood Cliffs,Data management & analytics,Insight Partners,Salesforce Ventures,Vertex Ventures,
203,203,Upgrade,3.33,2018-02-12,USA,San Francisco,Fintech,Union Square Ventures,Ribbit Capital,VY Capital,
206,206,Sila Nanotechnologies,3.3,2019-04-16,USA,Alameda,Other,Bessemer Venture Partners,Sutter Hill Ventures,Matrix Partners,
207,207,Scopely,3.3,2019-10-29,USA,Culver City,Mobile & telecommunications,Greycroft,Sands Capital,Revolution Growth,
209,209,Komodo Health,3.3,2020-05-22,USA,San Francisco,Health,Andreessen Horowitz,IA Ventures,Felicis Ventures,
211,211,Thumbtack,3.2,2015-09-29,USA,San Francisco,E-commerce & direct-to-consumer,Tiger Global,Sequoia Capital,Google Capital,
198,198,Alchemy,3.5,2021-10-28,USA,San Francisco,Fintech,DFJ Growth Fund,Coatue Management,Addition,
212,212,Flexport,3.2,2018-04-30,USA,San Francisco,Supply chain logistics & delivery,Bloomberg Beta,Founders Fund,First Round Capital,
184,184,Noom,3.7,2021-05-24,USA,New York,Health,Qualcomm Ventures,Samsung Ventures,Silver Lake,
182,182,VAST Data,3.7,2020-04-16,USA,New York,Data management & analytics,Norwest Venture Partners,Goldman Sachs,Dell Technologies Capital,
163,163,Clubhouse,4.0,2021-01-24,USA,San Francisco,Mobile & telecommunications,Andreessen Horowitz,TQ Ventures,,
165,165,Olive,4.0,2020-12-01,USA,Columbus,Internet software & services,Drive Capital,General Catalyst,Ascension Ventures,
166,166,iCapital Network,4.0,2021-07-27,USA,New York,Fintech,BlackRock,Blackstone,UBS,
167,167,Rubrik,4.0,2017-04-28,USA,Palo Alto,Data management & analytics,Greylock Partners,Lightspeed Venture Partners,Khosla Ventures,
169,169,Vuori,4.0,2021-10-13,USA,Carlsbad,E-commerce & direct-to-consumer,SoftBank Group,Norwest Venture Partners,,
170,170,ClickUp,4.0,2020-12-15,USA,San Diego,Internet software & services,Georgian Partners,Craft Ventures,,
171,171,Cerebras Systems,4.0,2018-11-14,USA,Los Altos,Hardware,Benchmark,Foundation Capital,Sequoia Capital,
183,183,GOAT,3.7,2020-09-23,USA,Culver City,E-commerce & direct-to-consumer,Upfront Ventures,Webb Investment Network,D1 Capital Partners,
172,172,Farmers Business Network,4.0,2020-08-03,USA,San Carlos,Other,Blackrock,Kleiner Perkins Caulfield & Byers,Google Ventures,
174,174,Intarcia Therapeutics,3.8,2014-04-01,USA,Boston,Health,New Enterprise Associates,New Leaf Venture Partners,Charter Venture Capital,
175,175,StockX,3.8,2019-06-26,USA,Detroit,E-commerce & direct-to-consumer,Google Ventures,Battery Ventures,DST Global,
177,177,Guild Education,3.75,2019-11-13,USA,Denver,Internet software & services,General Atlantic,Blackstone,ICONIQ Growth,
178,178,Articulate,3.75,2021-07-01,USA,New York,Edtech,Blackstone,ICONIQ Growth,General Atlantic,
179,179,FalconX,3.75,2021-08-10,USA,San Mateo,Fintech,Tiger Global Management,American Express Ventures,B Capital Group,
180,180,Dutchie,3.75,2021-03-16,USA,Bend,E-commerce & direct-to-consumer,Casa Verde Capital,Gron Ventures,Thrity Five Ventures,
181,181,Cohesity,3.7,2018-06-11,USA,San Jose,Data management & analytics,SoftBank Group,Sequoia Capital,Wing Venture Capital,
